"Line Number","Product Part","Product Name","Start Date","End Date","Net Unit Price","Max Quantity","UOM","Net Unit Price UOM","Active"
"1.091","B88517","Oracle Cloud Infrastructure - Compute - Bare Metal GPU Standard - X7 - GPU Per Hour","10-01-2020","09-30-2025",0.68710000,,"GPU PER HOUR","Monthly","true"
"1.069","B88518","Oracle Cloud Infrastructure - Compute - Virtual Machine GPU Standard - X7 - GPU Per Hour","10-01-2020","09-30-2025",0.68710000,,"GPU PER HOUR","Monthly","true"
"1.230","B88523","Oracle Cloud Infrastructure - Email Delivery - 1,000 Emails Sent","10-01-2020","10-01-2022",0.04580000,,"1000 EMAILS SENT","Monthly","true"
"1.408","B88523","Oracle Cloud Infrastructure - Email Delivery - 1,000 Emails Sent","10-02-2022","09-30-2025",0.00000000,3,"1000 EMAILS SENT","Monthly","true"
"1.408","B88523","Oracle Cloud Infrastructure - Email Delivery - 1,000 Emails Sent","10-02-2022","09-30-2025",0.04580000,999999999999999,"1000 EMAILS SENT","Monthly","true"
"1.149","B88525","Oracle Cloud Infrastructure - DNS - 1,000,000 Queries","10-01-2020","09-30-2025",0.45800000,,"1000000 QUERIES","Monthly","true"
"1.127","B88592","Exadata Database OCPU - Dedicated Infrastructure - OCPU Per Hour","10-01-2020","09-30-2025",0.90530000,,"OCPU PER HOUR","Monthly","true"
"1.128","B88593","Oracle Cloud Infrastructure - Database Exadata Quarter Rack - X6 - Hosted Environment Per Hour","10-01-2020","09-30-2025",34.40300000,,"HSTD ENVIRONMENT PER HOUR","Monthly","true"
"1.150","B88594","Oracle Cloud Infrastructure - Database Exadata Half Rack - X6 - Hosted Environment Per Hour","10-01-2020","09-30-2025",68.80610000,,"HSTD ENVIRONMENT PER HOUR","Monthly","true"
"1.112","B88595","Oracle Cloud Infrastructure - Database Exadata Full Rack - X6 - Hosted Environment Per Hour","10-01-2020","09-30-2025",137.61210000,,"HSTD ENVIRONMENT PER HOUR","Monthly","true"
"1.231","B88650","Oracle Apiary Cloud Service - Standard - User Per Month","10-01-2020","09-30-2025",3.55650000,,"USER PER MONTH","Monthly","true"
"1.200","B88651","Oracle Apiary Cloud Service - Professional - User Per Month","10-01-2020","09-30-2025",10.77720000,,"USER PER MONTH","Monthly","true"
"1.191","B88844","Oracle Java Cloud Service - Standard - BYOL - OCPU Per Hour","10-01-2020","09-30-2025",0.10430000,,"OCPU PER HOUR","Monthly","true"
"1.245","B88846","Oracle Cloud Infrastructure - Database All Editions - Additional Capacity - BYOL - OCPU Per Hour","10-01-2020","09-30-2025",0.10430000,,"OCPU PER HOUR","Monthly","true"
"1.201","B88847","Exadata Database OCPU - Dedicated Infrastructure - BYOL - OCPU Per Hour","10-01-2020","09-30-2025",0.17380000,,"OCPU PER HOUR","Monthly","true"
"1.232","B88854","Oracle Cloud Infrastructure - Database Exadata Full Rack - X6 - BYOL - Hosted Environment Per Hour","10-01-2020","09-30-2025",73.23860000,,"HSTD ENVIRONMENT PER HOUR","Monthly","true"
"1.246","B88855","Oracle Cloud Infrastructure - Database Exadata Half Rack - X6 - BYOL - Hosted Environment Per Hour","10-01-2020","09-30-2025",36.61930000,,"HSTD ENVIRONMENT PER HOUR","Monthly","true"
